Sens,Nature Mvt,Section,Chapitre - Code,Chapitre - Libellé,Nature - Code,Nature - Libellé,Fonction - Code,Fonction - Libellé,Niveau 1 - Section,Niveau 2 - Catégorie,Niveau 3 - Type,Niveau a - Politique,Niveau b - Sous Politique
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,22,ENSEIGNEMENT DU DEUXIEME DEGRE,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Education,Collèges et Lycées
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,251,HEBERGEMENT ET RESTAURATION,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Education,Restauration scolaire
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,252,TRANSPORTS SCOLAIRES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Education,Transports scolaires
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,255,CLASSES DE DECOUVERTE,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Education,Périscolaire
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,30,SERVICES COMMUNS,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Culture,Action culturelle
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,311,"EXPRESSION MUSICALE, LYRIQUE",DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Culture,Expression artistique
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,312,ARTS PLASTIQUES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Culture,Expression artistique
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,313,THEATRES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Culture,Théâtres
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,314,CINEMAS ET AUTRES SALLES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Culture,Cinémas
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,322,MUSEES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Culture,Action culturelle
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,324,ENTRETIEN PATRIMOINE CULTUREL,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Culture,Action culturelle
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,33,ACTION CULTURELLE,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Culture,Action culturelle
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,40,SERVICES COMMUNS,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Sports,Actions sportives
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,411,"SALLES DE SPORT, GYMNASES",DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Sports,Equipements sportifs
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,412,STADES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Sports,Equipements sportifs
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,414,AUTRES EQUIPEMENTS SPORTIFS,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Sports,Equipements sportifs
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,415,MANIFESTATIONS SPORTIVES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Sports,Actions sportives
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,421,CENTRES DE LOISIRS,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Education,Périscolaire
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,422,AUTRES ACTIVITES POUR JEUNES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Jeunesse,-
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,423,COLONIES DE VACANCES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Jeunesse,-
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,510,SERVICES COMMUNS,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Santé,-
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,511,DISPENSAIRES ET AUTRES ETABS,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Santé,-
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,512,ACTIONS PREVENTION SANITAIRE,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Santé,-
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,520,SERVICES COMMUNS,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Interventions sociales,-
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,521,SERVICES A CARACTERE SOCIAL,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Interventions sociales,-
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,523,ACTIONS PERSONNES DIFFICCULTE,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Interventions sociales,-
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,524,AUTRES SERVICES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Interventions sociales,-
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,61,SERVICES PERSONNES AGEES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Interventions sociales,-
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,63,AIDES A LA FAMILLE,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Interventions sociales,-
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,64,CRECHES ET GARDERIES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Petite Enfance,Crèches et garderies
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,70,SERVICES COMMUNS,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Logement,-
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,71,PARC PRIVE DE LA VILLE,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Logement,-
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,72,AIDE AU SECTEUR LOCATIF,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Logement,-
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,813,PROPRETE URBAINE,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Espaces publics,Propreté Urbaine
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,814,ECLAIRAGE PUBLIC,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Espaces publics,Eclairage public
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,815,TRANSPORTS URBAINS,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Espaces publics,Transports urbains
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,816,AUTRES RESEAUX ET SERVICES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Espaces publics,Réseaux
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,820,SERVICES COMMUNS,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Espaces publics,Aménagement urbain
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,821,EQUIPEMENTS ANNEXES DE VOIRIE,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Espaces publics,Voiries
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,822,VOIRIE COMMUNALE ET ROUTES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Espaces publics,Voiries
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,823,ESPACES VERTS URBAINS,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Espaces publics,Environnement / Espaces verts
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,824,AUTRE OPERATIONS D'AMENAGEMENT,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Espaces publics,Aménagement urbain
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,830,SERVICES COMMUNS,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Espaces publics,Environnement / Espaces verts
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,832,ACTIONS SPECIFIQUES POLLUTION,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Espaces publics,Environnement / Espaces verts
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,90,INTERVENTIONS ECONOMIQUES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Divers,Aides aux commerces
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,94,AIDES COMMERCE SERVICES MCHDS,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Divers,Aides aux commerces
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,617,ETUDES ET RECHERCHES,95,AIDES AU TOURISME,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Divers,Tourisme
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,01,OPERATIONS NON VENTILABLES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Administration et frais généraux,Administration générale
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,020,ADMIN GENERALE COLLECTIVITE,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Administration et frais généraux,Administration générale
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,021,ASSEMBLEE LOCALE,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Assemblée locale,Assemblée locale
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,023,"INFORMATION, COMMUNICATION",DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Administration et frais généraux,Information Communication
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,024,FETES ET CEREMONIES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Administration et frais généraux,Fêtes et cérémonies
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,025,AIDES AUX ASSOCIATIONS,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Administration et frais généraux,Administration générale
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,026,CIMETIERES ET POMPES FUNEBRES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Espaces publics,Cimetières
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,03,JUSTICE,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Administration et frais généraux,Administration générale
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,048,AUTRES ACTIONS INTERNATIONALES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Coopération Internationale,Coopération Internationale
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,110,SERVICES COMMUNS,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Sécurité Publique,Sécurité Publique
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,112,POLICE MUNICIPALE,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Sécurité Publique,Police municipale
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,113,"POMPIERS, INCENDIES ET SECOURS",DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Sécurité Publique,"Pompiers, Incendie et secours"
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,114,AUTRES SERVICES DE PROTECTION,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Sécurité Publique,Sécurité Publique
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,12,HYGIENE ET SALUBRITE PUBLIQUE,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Sécurité Publique,Hygiène et salubrité publique
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,20,SERVICES COMMUNS,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Education,Ecoles
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,211,ECOLES MATERNELLES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Education,Ecoles
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,212,ECOLES PRIMAIRES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Education,Ecoles
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,213,CLASSES REGROUPEES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Education,Ecoles
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,22,ENSEIGNEMENT DU DEUXIEME DEGRE,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Education,Collèges et Lycées
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,251,HEBERGEMENT ET RESTAURATION,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Education,Restauration scolaire
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,252,TRANSPORTS SCOLAIRES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Education,Transports scolaires
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,255,CLASSES DE DECOUVERTE,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Education,Périscolaire
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,30,SERVICES COMMUNS,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Culture,Action culturelle
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,311,"EXPRESSION MUSICALE, LYRIQUE",DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Culture,Expression artistique
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,312,ARTS PLASTIQUES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Culture,Expression artistique
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,313,THEATRES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Culture,Théâtres
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,314,CINEMAS ET AUTRES SALLES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Culture,Cinémas
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,322,MUSEES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Culture,Action culturelle
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,324,ENTRETIEN PATRIMOINE CULTUREL,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Culture,Action culturelle
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,33,ACTION CULTURELLE,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Culture,Action culturelle
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,40,SERVICES COMMUNS,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Sports,Actions sportives
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,411,"SALLES DE SPORT, GYMNASES",DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Sports,Equipements sportifs
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,412,STADES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Sports,Equipements sportifs
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,414,AUTRES EQUIPEMENTS SPORTIFS,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Sports,Equipements sportifs
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,415,MANIFESTATIONS SPORTIVES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Sports,Actions sportives
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,421,CENTRES DE LOISIRS,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Education,Périscolaire
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,422,AUTRES ACTIVITES POUR JEUNES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Jeunesse,-
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,423,COLONIES DE VACANCES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Jeunesse,-
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,510,SERVICES COMMUNS,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Santé,-
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,511,DISPENSAIRES ET AUTRES ETABS,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Santé,-
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,512,ACTIONS PREVENTION SANITAIRE,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Santé,-
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,520,SERVICES COMMUNS,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Interventions sociales,-
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,521,SERVICES A CARACTERE SOCIAL,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Interventions sociales,-
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,523,ACTIONS PERSONNES DIFFICCULTE,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Interventions sociales,-
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,524,AUTRES SERVICES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Interventions sociales,-
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,61,SERVICES PERSONNES AGEES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Interventions sociales,-
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,63,AIDES A LA FAMILLE,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Interventions sociales,-
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,64,CRECHES ET GARDERIES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Petite Enfance,Crèches et garderies
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,70,SERVICES COMMUNS,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Logement,-
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,71,PARC PRIVE DE LA VILLE,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Logement,-
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,72,AIDE AU SECTEUR LOCATIF,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Logement,-
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,813,PROPRETE URBAINE,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Espaces publics,Propreté Urbaine
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,814,ECLAIRAGE PUBLIC,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Espaces publics,Eclairage public
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,815,TRANSPORTS URBAINS,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Espaces publics,Transports urbains
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,816,AUTRES RESEAUX ET SERVICES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Espaces publics,Réseaux
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,820,SERVICES COMMUNS,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Espaces publics,Aménagement urbain
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,821,EQUIPEMENTS ANNEXES DE VOIRIE,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Espaces publics,Voiries
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,822,VOIRIE COMMUNALE ET ROUTES,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Espaces publics,Voiries
DEPENSE,REELLE,FONCTIONNEMENT,011,CHARGES A CARACTERE GENERAL,6182,DOC GENERALE ET TECHNIQUE,823,ESPACES VERTS URBAINS,DEPENSE REELLE FONCTIONNEMENT,Gestion courante,Charges courantes,Espaces publics,Environnement / Espaces verts
